A,RELATION,B,WEIGHT
Dog,isA,Mammal,0.95
Dog,isA,Animal,0.9
Cat,isA,Mammal,0.95
Cat,isA,Animal,0.9
Whale,isA,Mammal,0.95
Whale,isA,Animal,0.9
Dolphin,isA,Mammal,0.95
Dolphin,isA,Animal,0.9
Elephant,isA,Mammal,0.95
Elephant,isA,Animal,0.9
Lion,isA,Mammal,0.95
Lion,isA,Animal,0.9
Tiger,isA,Mammal,0.95
Tiger,isA,Animal,0.9
Horse,isA,Mammal,0.95
Horse,isA,Animal,0.9
Bat,isA,Mammal,0.95
Bat,isA,Animal,0.9
Kangaroo,isA,Mammal,0.95
Kangaroo,isA,Animal,0.9
Human,isA,Mammal,0.95
Human,isA,Animal,0.9
Gorilla,isA,Mammal,0.95
Gorilla,isA,Animal,0.9
Chimpanzee,isA,Mammal,0.95
Chimpanzee,isA,Animal,0.9
Rabbit,isA,Mammal,0.95
Rabbit,isA,Animal,0.9
Mouse,isA,Mammal,0.95
Mouse,isA,Animal,0.9
Wolf,isA,Mammal,0.95
Wolf,isA,Animal,0.9
Bear,isA,Mammal,0.95
Bear,isA,Animal,0.9
Giraffe,isA,Mammal,0.95
Giraffe,isA,Animal,0.9
Zebra,isA,Mammal,0.95
Zebra,isA,Animal,0.9
Platypus,isA,Mammal,0.95
Platypus,isA,Animal,0.9
Eagle,isA,Bird,0.95
Eagle,isA,Animal,0.9
Penguin,isA,Bird,0.95
Penguin,isA,Animal,0.9
Ostrich,isA,Bird,0.95
Ostrich,isA,Animal,0.9
Sparrow,isA,Bird,0.95
Sparrow,isA,Animal,0.9
Owl,isA,Bird,0.95
Owl,isA,Animal,0.9
Parrot,isA,Bird,0.95
Parrot,isA,Animal,0.9
Flamingo,isA,Bird,0.95
Flamingo,isA,Animal,0.9
Hummingbird,isA,Bird,0.95
Hummingbird,isA,Animal,0.9
Crow,isA,Bird,0.95
Crow,isA,Animal,0.9
Peacock,isA,Bird,0.95
Peacock,isA,Animal,0.9
Swan,isA,Bird,0.95
Swan,isA,Animal,0.9
Falcon,isA,Bird,0.95
Falcon,isA,Animal,0.9
Salmon,isA,Fish,0.95
Salmon,isA,Animal,0.9
Shark,isA,Fish,0.95
Shark,isA,Animal,0.9
Goldfish,isA,Fish,0.95
Goldfish,isA,Animal,0.9
Tuna,isA,Fish,0.95
Tuna,isA,Animal,0.9
Clownfish,isA,Fish,0.95
Clownfish,isA,Animal,0.9
Catfish,isA,Fish,0.95
Catfish,isA,Animal,0.9
Eel,isA,Fish,0.95
Eel,isA,Animal,0.9
Seahorse,isA,Fish,0.95
Seahorse,isA,Animal,0.9
Snake,isA,Reptile,0.95
Snake,isA,Animal,0.9
Lizard,isA,Reptile,0.95
Lizard,isA,Animal,0.9
Crocodile,isA,Reptile,0.95
Crocodile,isA,Animal,0.9
Turtle,isA,Reptile,0.95
Turtle,isA,Animal,0.9
Alligator,isA,Reptile,0.95
Alligator,isA,Animal,0.9
Chameleon,isA,Reptile,0.95
Chameleon,isA,Animal,0.9
Gecko,isA,Reptile,0.95
Gecko,isA,Animal,0.9
Iguana,isA,Reptile,0.95
Iguana,isA,Animal,0.9
Frog,isA,Amphibian,0.95
Frog,isA,Animal,0.9
Toad,isA,Amphibian,0.95
Toad,isA,Animal,0.9
Salamander,isA,Amphibian,0.95
Salamander,isA,Animal,0.9
Newt,isA,Amphibian,0.95
Newt,isA,Animal,0.9
Ant,isA,Insect,0.95
Ant,isA,Animal,0.9
Bee,isA,Insect,0.95
Bee,isA,Animal,0.9
Butterfly,isA,Insect,0.95
Butterfly,isA,Animal,0.9
Beetle,isA,Insect,0.95
Beetle,isA,Animal,0.9
Grasshopper,isA,Insect,0.95
Grasshopper,isA,Animal,0.9
Mosquito,isA,Insect,0.95
Mosquito,isA,Animal,0.9
Dragonfly,isA,Insect,0.95
Dragonfly,isA,Animal,0.9
Termite,isA,Insect,0.95
Termite,isA,Animal,0.9
Spider,isA,Arachnid,0.95
Spider,isA,Animal,0.9
Scorpion,isA,Arachnid,0.95
Scorpion,isA,Animal,0.9
Tick,isA,Arachnid,0.95
Tick,isA,Animal,0.9
Octopus,isA,Cephalopod,0.95
Octopus,isA,Animal,0.9
Squid,isA,Cephalopod,0.95
Squid,isA,Animal,0.9
Crab,isA,Crustacean,0.95
Crab,isA,Animal,0.9
Lobster,isA,Crustacean,0.95
Lobster,isA,Animal,0.9
Shrimp,isA,Crustacean,0.95
Shrimp,isA,Animal,0.9
Jellyfish,isA,Cnidarian,0.95
Jellyfish,isA,Animal,0.9
Coral,isA,Cnidarian,0.95
Coral,isA,Animal,0.9
Snail,isA,Mollusk,0.95
Snail,isA,Animal,0.9
Clam,isA,Mollusk,0.95
Clam,isA,Animal,0.9
Oyster,isA,Mollusk,0.95
Oyster,isA,Animal,0.9
Earthworm,isA,Annelid,0.95
Earthworm,isA,Animal,0.9
Starfish,isA,Echinoderm,0.95
Starfish,isA,Animal,0.9
Sea Urchin,isA,Echinoderm,0.95
Sea Urchin,isA,Animal,0.9
Camel,isA,Mammal,0.95
Camel,isA,Animal,0.9
Hippopotamus,isA,Mammal,0.95
Hippopotamus,isA,Animal,0.9
Rhinoceros,isA,Mammal,0.95
Rhinoceros,isA,Animal,0.9
Panda,isA,Mammal,0.95
Panda,isA,Animal,0.9
Koala,isA,Mammal,0.95
Koala,isA,Animal,0.9
Otter,isA,Mammal,0.95
Otter,isA,Animal,0.9
Beaver,isA,Mammal,0.95
Beaver,isA,Animal,0.9
Squirrel,isA,Mammal,0.95
Squirrel,isA,Animal,0.9
Deer,isA,Mammal,0.95
Deer,isA,Animal,0.9
Moose,isA,Mammal,0.95
Moose,isA,Animal,0.9
Bison,isA,Mammal,0.95
Bison,isA,Animal,0.9
Raccoon,isA,Mammal,0.95
Raccoon,isA,Animal,0.9
Skunk,isA,Mammal,0.95
Skunk,isA,Animal,0.9
Hedgehog,isA,Mammal,0.95
Hedgehog,isA,Animal,0.9
Meerkat,isA,Mammal,0.95
Meerkat,isA,Animal,0.9
Seal,isA,Mammal,0.95
Seal,isA,Animal,0.9
Walrus,isA,Mammal,0.95
Walrus,isA,Animal,0.9
Manatee,isA,Mammal,0.95
Manatee,isA,Animal,0.9
Fox,isA,Mammal,0.95
Fox,isA,Animal,0.9
Cow,isA,Mammal,0.95
Cow,isA,Animal,0.9
Pig,isA,Mammal,0.95
Pig,isA,Animal,0.9
Sheep,isA,Mammal,0.95
Sheep,isA,Animal,0.9
Goat,isA,Mammal,0.95
Goat,isA,Animal,0.9
Llama,isA,Mammal,0.95
Llama,isA,Animal,0.9
Alpaca,isA,Mammal,0.95
Alpaca,isA,Animal,0.9
Toucan,isA,Bird,0.95
Toucan,isA,Animal,0.9
Woodpecker,isA,Bird,0.95
Woodpecker,isA,Animal,0.9
Pelican,isA,Bird,0.95
Pelican,isA,Animal,0.9
Seagull,isA,Bird,0.95
Seagull,isA,Animal,0.9
Robin,isA,Bird,0.95
Robin,isA,Animal,0.9
Cardinal,isA,Bird,0.95
Cardinal,isA,Animal,0.9
Blue Jay,isA,Bird,0.95
Blue Jay,isA,Animal,0.9
Kingfisher,isA,Bird,0.95
Kingfisher,isA,Animal,0.9
Vulture,isA,Bird,0.95
Vulture,isA,Animal,0.9
Hawk,isA,Bird,0.95
Hawk,isA,Animal,0.9
Heron,isA,Bird,0.95
Heron,isA,Animal,0.9
Stork,isA,Bird,0.95
Stork,isA,Animal,0.9
Swordfish,isA,Fish,0.95
Swordfish,isA,Animal,0.9
Anglerfish,isA,Fish,0.95
Anglerfish,isA,Animal,0.9
